"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2014-08-31,0,0.1,0.1,0,0.1,0,0.1,0,0.1,NA,0,0
2014-09-01,0,0,0,0.7,0.4,0.1,0.3,0,0,0,0,0
2014-09-02,0,0,0,3.5,0.6,0,0.7,0.3,0,0.4,0,0
2014-09-03,0.2,0.1,0,0.6,0.7,0,0.7,0.4,0.2,0.4,0,0.2
2014-09-04,0,0.1,0,0,0.1,0,0.2,0.2,0,0,0,0.9
2014-09-05,0,0,0,1.2,0.3,0,0.1,0.2,0,0.2,0,0
2014-09-06,0,0,0,0.2,0.1,0,0.1,0,0,0,0,0
2014-09-07,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,0,0,0,0.1,2.6,0,0.3,0.1,0,0,NA,0
2014-09-11,2.2,0.9,0.5,1.5,5.2,1,2.0000001,7.2,4.4000001,6.4,0.8,1
2014-09-12,0.8,0.6,1.3,5.6,5.4,8.7000001,3,1.8,0.3,0.6,0.4,0.9
2014-09-13,7.7,0,1.3,0.4,11.3,0.7,1.2,10.5,0,0,6,0.1
2014-09-14,0.4,0,0.2,1.6,2,0.1,0.8,0.8,0,0.3,0.1,0
2014-09-15,14.3,11.9,10.2,11.3,NA,0.1,NA,13.9,NA,10.9,10.0000001,13.5
2014-09-16,1.1,1.2,1,1.7,2.9,14.9,0.6,2.1,1,1.4,0.8,1.3
2014-09-17,0.1,0,0,0,0.5,0,0.6,1.7,0,0,0,0
2014-09-18,0,0,0,0,0.2,0,0.1,0,0,0,0,0
2014-09-19,0,0,0,2.3,0,0,0,0.4,0,10.3,0,0
2014-09-20,0,2.1000001,0,7.8,8.4,0,6.7,1.7,0.7,1.5,0,0
2014-09-21,0,0.3,0,0.1,0.4,6.6,0,0,0.2,0.1,0,0.6
2014-09-22,15.4,0,30.7000007,4.2,2.7,NA,14.2000002,6.2,1.3,1.4,10.4000002,0
2014-09-23,1.9,0.9,1.1,2.2,1.6,NA,0.9,1.1,0.8,1.6,1.3,0.2
2014-09-24,0.6,1,0.5,2.4,1.1,0.9,0.8,0.1,0.7,1.7,0.4,0.6
2014-09-25,0,0,0,0,0,0,0,0,0.1,0,0,0
2014-09-26,2.1,0,0,8.8,2.5,0,2.6,4.2,0,1.1,0,0
2014-09-27,0,0,0,0.7,0.3,0,0.1,0,0,0,0,0
2014-09-28,0.1,0,0,1.8,2.8,0,1,0,0,0,0,0
2014-09-29,0,0,0,0.1,0,0,0,0,0,0,0,0
2014-09-30,0,0,0,2.2,0.5,0,0.2,0.3,0,0.1,0,0
2014-10-01,1.1,0.6,0.2,5.3,NA,0.1,2.6,1.6,1.2,1.3,0.1,0.6
2014-10-02,0.1,0,0.2,0.2,1.8,0.1,0.1,0.9,0,0,0,0
2014-10-03,0,0,0,1.2,0.3,0,1,0.7,0,0,0.1,0
2014-10-04,0,0,0,0,0.1,0,0,0,0,0,0,0
2014-10-05,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,0.7,0.1,0,0.8,5.1,0.2,3.3,1.4,0.2,0,0,0.4
2014-10-07,10.6,0.9,5.8,11.3,11.6,0.2,5.8,14.4,3.2000001,12.7,4.8,1.5
2014-10-08,0.9,0.1,0.1,0,2.2,0.2,6.1000001,0.3,0,0.7,0.5,0
2014-10-09,11.3,33.3000001,5.6,30.8,4.3,0.1,7.3,8.4,14.2000002,11.9,5.3,12.7
2014-10-10,NA,NA,6,NA,11.4,0.2,13.0000001,NA,8.8000001,NA,NA,NA
2014-10-11,NA,14.1,5.7,NA,NA,0.1,NA,NA,NA,NA,24.7999991,16.5
2014-10-12,24.7,2.3,1.2,3.9,18.5,0.2,NA,50.4,6,5.7,13.6000001,9.6
